"","V1","V2"
"30","RUBIO"," Yes, let me three points of distinction. The first is, if youre an American citizen and you decide to join up with ISIS, were not going to read you your Miranda rights. Youre going to be treated as an enemy combatant, a member of an army attacking this country. Number two, we do need our defense capabilities. It is a fact that the cuts we are facing today and the cuts that Senator Cruz would have supported would leave us with an even smaller Air Force and a smaller Navy than the one we are going to be left with.And the final point that I would make is Hillary Clinton and Barack Obamas strategy is to lead from behind. It sounds like what he is outlining is not to lead at all. We cannot continue to outsource foreign policy. We must lead. We are the most powerful nation in the world. We need to begin to act like it, again. "
"31","BLITZER"," We are going to have much more on this..."
"32","PAUL"," Wolf..."
"33","BLITZER"," Were going to have much more on this. But I want to move now back to Mr. Trump.
PAUL: Wolf, this legislation...
BLITZER: Hold on. Hold on. Hold on.
PAUL: This legislation on indefinite detention...
BLITZER: We have a lot...
PAUL: ... I think deserves a little more attention.
BLITZER: We have a lot to discuss. I want to move to Mr. Trump right now. We have a question on this war against ISIS and how you would fight and win this war. Heres the question from Facebook. Listen to this.JOSH JACOB, COLLEGE STUDENT Im Josh Jacob from Georgia Tech. Recently Donald Trump mentioned we must kill the families of ISIS members. However, this violates the principle of distinction between civilians and combatants in international law.So my question is, how would intentionally killing innocent civilians set us apart from ISIS?
BLITZER: Mr. Trump.
TRUMP: We have to be much tougher. We have to be much stronger than weve been. We have people that know what is going on. You take a look at just the attack in California the other day. There were numerous people, including the mother, that knew what was going on.They saw a pipe bomb sitting all over the floor. They saw ammunition all over the place. They knew exactly what was going on.When you had the World Trade Center go, people were put into planes that were friends, family, girlfriends, and they were put into planes and they were sent back, for the most part, to Saudi Arabia.They knew what was going on. They went home and they wanted to watch their boyfriends on television. I would be very, very firm with families. Frankly, that will make people think because they may not care much about their lives, but they do care, believe it or not, about their families lives. 
BUSH: Donald, this has got...
BLITZER: Governor Bush. Governor Bush.
BUSH: This is another example of the lack of seriousness. Look, this is this is troubling because were at war. Theyve declared war on us and we need to have a serious strategy to destroy ISIS.But the idea that that is a solution to this is just is just crazy. It makes no sense to suggest this. Look, two months ago Donald Trump said that ISIS was not our fight. Just two months ago he said that Hillary Clinton would be a great negotiator with Iran. And he gets his foreign policy experience from the shows.That is not a serious kind of candidate. We need someone that thinks this through. That can lead our country to safety and security. 
BLITZER: Mr. Trump.
TRUMP: Look, the problem is we need toughness. Honestly, I think Jeb is a very nice person. Hes a very nice person. But we need tough people. We need toughness. We need intelligence and we need tough.Jeb said when they come across the southern border they come as an act of love."
"34","BUSH"," You said on September 30th that ISIS was not a factor."
"35","TRUMP"," Am I talking or are you talking, Jeb?"
"36","BUSH"," Im talking right now. Im talking."
"37","TRUMP"," You can go back. Youre not talking. You interrupted me.
BUSH: September 30th you said...
TRUMP: Are you going to apologize, Jeb? No. Am I allowed to finish?
BLITZER: Just one at a time, go ahead...
TRUMP: Excuse me, am I allowed to finish?
BLITZER: Go ahead, Mr. Trump.
TRUMP: So...
BUSH: A little of your own medicine there, Donald.
TRUMP: ... again... 
BLITZER: Governor Bush, please.
TRUMP: I know youre trying to build up your energy, Jeb, but its not working very well. 
BLITZER: One at a time.
TRUMP: Look, look, look. We need a toughness. We need strength. Were not respected, you know, as a nation anymore. We dont have that level of respect that we need. And if we dont get it back fast, were just going to go weaker, weaker and just disintegrate.We cant allow that to happen. We need strength. We dont have it. When Jeb comes out and he talks about the border, and I saw it and I was witness to it, and so was everyone else, and I was standing there, ""they come across as an act of love,"" hes saying the same thing right now with radical Islam.And we cant have that in our country. It just wont work. We need strength."
"38","BLITZER"," Governor Bush."
"39","BUSH"," Donald, youre not going to be able to insult your way to the presidency. Thats not going to happen. And I do have the strength. Leadership, leadership is not about attacking people and disparaging people. Leadership is about creating a serious strategy to deal with the threat of our time.And I laid out that strategy before the attacks in Paris and before the attacks in San Bernardino. And it is the way forward. We need to increase our military spending. We need to deal with a no- fly zone in Syria, a safe zone. We need to focus on building a military that is second-to-none..."
"40","BLITZER"," Thank you."
"41","BUSH"," ... so that we can destroy Islamic terrorism."
"42","TRUMP"," With Jebs attitude, we will never be great again, that I can tell you. We will never be great again.
BLITZER: All right. Hugh Hewitt and Dana Bash, Hugh, go ahead with the next question.
HEWITT: Dr. Carson...... you mentioned in your opening remarks that youre a pediatric neurologist surgeon..."
"43","CARSON"," Neurosurgeon."
"44","HEWITT"," Neurosurgeon. And people admire and respect and are inspired by your life story, your kindness, your evangelical core support. Were talking about ruthless things tonight carpet bombing, toughness, war. And people wonder, could you do that? Could you order air strikes that would kill innocent children by not the scores, but the hundreds and the thousands? Could you wage war as a commander-in-chief?
CARSON: Well, interestingly enough, you should see the eyes of some of those children when I say to them were going to have to open your head up and take out this tumor. Theyre not happy about it, believe me. And they dont like me very much at that point. But later on, they love me.Sometimes you I sound like him. You know, later on, you know, they really realize whats going on. And by the same token, you have to be able to look at the big picture and understand that its actually merciful if you go ahead and finish the job, rather than death by 1,000 pricks."
"45","HEWITT"," So you are OK with the deaths of thousands of innocent children and civilian? Its like...
CARSON: You got it. You got it.
HEWITT: That is what war can you be as ruthless as Churchill was in prosecuting the war against the Nazis?
CARSON: Ruthless is not necessarily the word I would use, but tough, resolute, understanding what the problems are, and understanding that the job of the president of the United States is to protect the people of this country and to do what is necessary in order to get it done. 
BASH: Senator Paul, you said ISIS grew stronger because of the hawks in your party. Do you really think that Republicans have fueled the rise of ISIS?
PAUL: I think that by arming the allies of ISIS, the Islamic rebels against Assad, that we created a safe space or made that space bigger for ISIS to grow. I think those who have wanted regime change have made a mistake. When we toppled Gadhafi in Libya, I think that was a mistake. I think ISIS grew stronger, we had a failed state, and we were more at risk.Id like to also go back to, though, another question, which is, is Donald Trump a serious candidate? The reason I ask this is, if youre going to close the Internet, realize, America, what that entails. That entails getting rid of the First amendment, OK? Its no small feat.If you are going to kill the families of terrorists, realize that theres something called the Geneva Convention were going to have to pull out of. It would defy every norm that is America. So when you ask yourself, whoever you are, that think youre going to support Donald Trump, think, do you believe in the Constitution? Are you going to change the Constitution? 
TRUMP: So, they can kill us, but we cant kill them? Thats what youre saying. And as far as the Internet is concerned, were not talking about closing the Internet. Im talking about parts of Syria, parts of Iraq, where ISIS is, spotting it.Now, you could close it. What I like even better than that is getting our smartest and getting our best to infiltrate their Internet, so that we know exactly where theyre going, exactly where theyre going to be. I like that better. But we have to who would be I just cant imagine somebody booing. These are people that want to kill us, folks, and youre youre objecting to us infiltrating their conversations? I dont think so. I dont think so. 
BASH: Senator Paul, Senator Paul, I want to go back to my initial question, which is you saying that ISIS grew stronger because of hawks in your party. And do you think your own party, the people who youre describing, are responsible for the rise of ISIS?"
"46","PAUL"," I think that if you believe in regime change, youre mistaken. In 2013, we put 600 tons of weapons us, Saudi Arabia, and Qatar into the war against Assad. By pushing Assad back, we did create a safe space.We had people coming to our Foreign Relations Committee and saying, ""Oh, we need to arm the allies of Al Qaida."" They are still saying this. It is a crazy notion. This is the biggest debate we should be having tonight is is regime change a good idea; has it been a good idea.There are still people the majority on the stage, they want to topple Assad. And then there will be chaos, and I think ISIS will then be in charge of Syria.
BASH: Senator, were going to talk about regime change in a bit.But Governor Kasich, would you like to respond to Senator Paul?"
"47","KASICH"," Yeah, let me let me just suggest to everybody, and I hear last February, I said we needed to have people on the ground in a coalition with Europe and our allies. This is not going to get done just by working with the Sunnis. And it is not going to get done if we just embed a few people.We have to go massively, like we did in the first Gulf War where we destroyed Saddams ability to take Kuwait. We need to have a coalition that will stand for nothing less than the total destruction of ISIS and we have to be the leader. We cant wait for anybody else. I served on the Armed Services Committee for 18 years and we must lead, or the job wont get done, unfortunately, for our country 
BLITZER: Thank you, Governor.Senator Rubio? Lets continue this conversation. This is a critically important issue."
"48","FIORINA"," I hope at some point youre going to ask me my strategy.
BLITZER: We will get to we have a lot of time, Ms. Fiorina.I want to get to Senator Rubio right now. Lets talk about, one of the aspects of your strategy, you say the only way to defeat ISIS is with ground forces made up primarily of Sunni-Arab forces. Those Arab nations, though, as you well know, theyve conducted less than five percent of the airstrikes and actually none since August. What makes you think they are willing to fight on the ground if theyre not even willing to fight from the air?"
"49","RUBIO"," Well, they most certainly will have to be worked on to provide more than what they are doing now. Theres no doubt about it. And theres one one major reason why they have not been willing to be a broader part of the coalition, and that is they have lost complete trust and confidence in this president. This president cut a deal with their moral enemy, the Shia, in Iran. And this is the reason why they no longer trust this president and are willing to work alongside them.But they have as much invested in this as we do. In fact, more so, for it is the king of Saudi Arabia they want to behead first. Its the king of Jordan that they want to dethrone. Its the they want to go into Egypt the way theyve already gone into Libya.And on another point that we need to talk about, Assad is one of the main reasons why ISIS even exists to begin with. Assad is a puppet of Iran. And he has been so brutal toward the Sunni within Syria that he created the space that led to the people of Syria themselves to stand up and try to overthrow him. That led to the chaos which allowed ISIS to come in and take advantage of that situation and grow more powerful.And the fact that this president led from behind meant there were no alternative groups on the ground to be empowered, leaving ISIS with the prime operating space they needed to become the force they have now become.
BLITZER: Thank you, Senator. Stand by. Ms. Fiorina, the former defense secretary, Bob Gates, says the chances of getting Sunni-Arab forces on the ground to get the job done, his words, ""chances very remote."" Whats your strategy?"
"50","FIORINA"," Well, first Ill just point out that talking tough is not the same as being strong. And to wage war, we need a commander in chief who has made tough calls in tough times and stood up to be held accountable over and over, not first-term senators whove never made an executive decision in their life.One of the things I would immediately do, in addition to defeating them here at home, is bring back the warrior class Petraeus, McChrystal, Mattis, Keane, Flynn. Every single one of these generals I know. Every one was retired early because they told President Obama things that he didnt want to hear.We must have Sunni-Arabs involved in this coalition. We must commit leadership, strength, support and resolve. Ill just add that Margaret Thatcher once said, If you want something talked about, ask a man; if you want something done, ask a woman. "
"51","BLITZER"," Thank you.Governor Christie, whats your strategy?
CHRISTIE: Wolf, you sit up here and you listen to this stuff, and you think that so many of these people have had so much to do in this national debate, they talk like they were bystanders. You know, we talk about our military being degraded over time, and yet weve had folks on this stage whove been a part of Congress who have participated in sequester; who participated in the degrading of this military over time.And thats why I think people get so frustrated with Washington, D.C. now. Thats why theyre so angry with the the electorate is so angry with everybody who is involved in government in Washington, D.C. Because if you listen to the folks up here, you think that they werent even there; they had nothing to do with this.This is a difference between being a governor and being in a legislature. See, because when something doesnt work in New Jersey, they look at me, say Why didn't it get done? Why didn't you do it? You have to be responsible and accountable.And so on ISIS, lets be clear, the president needs to be a force that is trusted in the world. On this I agree with Marco. You know, this president is not trusted.If youre the King of Jordan, if youre a part of the royal family in Saudi Arabia and hes made this deal with Iran which gives them $150 billion to wage a war and try to extend their empire across the Middle East, why would you want to do it now?But I will tell you this, when I stand across from King Hussein of Jordan and I say to him, You have a friend again sir, who will stand with you to fight this fight, hell change his mind.
BLITZER: Dr. Carson, what is your strategy?
CARSON: First of all, Ive been talking about this for over a year. We have to destroy their caliphate because that gives them legitimacy to go ahead with the global Jihad. We have to take their energy because they are ISIS is the richest terrorist organization there is. We have to take their oil, shut down all of the mechanisms whereby they can disperse money because they go after disaffected individuals from all over the place, and theyre able to pay them. That makes a difference.As far as the command centers are concerned in Raqqa and to a lesser degree Mosul, cut those off. Do the same kind of thing that we did with Sinjar a few weeks ago, working with our embedded special forces with the Kurds, shut off the supply route, soften them up, then we go in with specials ops followed by our air force to take them over. Those are things that work.But also, you know, this whole concept of boots on the ground, you know, weve got a phobia about boots on the ground. If our military experts say, we need boots on the ground, we should put boots on the ground and recognize that there will be boots on the ground and theyll be over here, and theyll be their boots if we dont get out of there now.
BLITZER: Thank you.Everyone stand by. Were only just beginning. Coming up, which candidates on this stage tonight want to move foreign policy in a dramatically new direction?Well be right back.
BLITZER: Welcome back to the CNN-Facebook Republican Presidential Debate here at the Venetian, Las Vegas.The war against ISIS will pose many new challenges for the next commander-in-chief. The last two presidents pursued a Middle East policy that supported toppling dictators to try to promote democracy.Senator Cruz, you have said the world would be safer today if Saddam Hussein were still in power in Iraq, Moammar Gadhafi ruled Libya, and Hosni Mubarak ruled Egypt. So would it be your policy to preserve dictatorships, rather than promoting democracy in the Middle East?
CRUZ: Wolf, I believe in a America first foreign policy, that far too often President Obama and Hillary Clinton and, unfortunately, more than a few Republicans have gotten distracted from the central focus of keeping this country safe.So lets go back to the beginning of the Obama administration, when Hillary Clinton and Barack Obama led NATO in toppling the government in Libya. They did it because they wanted to promote democracy. A number of Republicans supported them. The result of that and we were told then that there were these moderate rebels that would take over. Well, the result is, Libya is now a terrorist war zone run by jihadists.Move over to Egypt. Once again, the Obama administration, encouraged by Republicans, toppled Mubarak who had been a reliable ally of the United States, of Israel, and in its place, Morsi and the Muslim Brotherhood came in, a terrorist organization.And we need to learn from history. These same leaders Obama, Clinton, and far too many Republicans want to topple Assad. Assad is a bad man. Gadhafi was a bad man. Mubarak had a terrible human rights record. But they were assisting us at least Gadhafi and Mubarak in fighting radical Islamic terrorists.And if we topple Assad, the result will be ISIS will take over Syria, and it will worsen U.S. national security interests. And the approach, instead of being a Woodrow Wilson democracy promoter..."
"52","BLITZER"," Thank you."
"53","CRUZ"," ... we ought to hunt down our enemies and kill ISIS rather than creating opportunities for ISIS to take control of new countries."
"54","BLITZER"," Thank you, Senator. Thank you, Senator. Senator Rubio, you supported the removal of Moammar Gadhafi in Libya. Now that country is in turmoil, as ISIS is clearly growing there. Senator Cruz says you havent learned your lesson. Do you have any regrets for supporting President Obamas intervention in Libya?"
"55","RUBIO"," To begin with, Moammar Gadhafi and the revolt against Gadhafi was not started by the United States. It was started by the Libyan people. And the reason why I argued we needed to get involved is because he was going to go one way or the other. And my argument then was proven true, and that is, the longer that civil war took, the more militias would be formed and the more unstable the country would be after the fact.As far as Moammar Gadhafi is concerned, by the way, Moammar Gadhafi is the man that killed those Americans over Lockerbie, Scotland. Moammar Gadhafi is also the man that bombed that cafe in Berlin and killed those Marines. And you want to know why Moammar Gadhafi started cooperating on his nuclear program? Because we got rid of Saddam Hussein. And so he got scared that he would be next, and thats why he started cooperating.Look, we will have to work around the world with less than ideal governments. The government in Saudi Arabia is not a democracy, but we will have to work with them. The government in Jordan is not perfect, but we will have to work with them. But anti-American dictators like Assad, who help Hezbollah, who helped get those IEDs into Iraq, if they go, I will not shed a tear.
BLITZER: Senator Cruz?
CRUZ: Well, its more than not shedding a tear. Its actively getting involved to topple a government. And we keep hearing from President Obama and Hillary Clinton and Washington Republicans that theyre searching for these mythical moderate rebels. Its like a purple unicorn. They never exist. These moderate rebels end up being jihadists.And Ill tell you whose view on Assad is the same as mine. Its Prime Minister Netanyahu. Prime Minister Netanyahu has said Israel doesnt have a dog in that fight because Assad is a puppet of Iran, a Shia radical Islamic terrorist, but at the same time, Prime Minister Netanyahu doesnt want to see Syria governed by ISIS. And we need to focus on American interests, not on global aspirations...
BLITZER: Standby. Everybody standby for a moment. Governor Kasich, go ahead.
KASICH: I dont understand this thing about Assad. He has to go. Assad is aligned with Iran and Russia. The one thing we want to prevent is we want to prevent Iran being able to extend a Shia crescent all across the Middle East. Assad has got to go.And there are moderates there. There are moderates in Syria who we should be supporting. I do not support a civil war. I dont want to be policeman of the world. But we cant back off of this. And let me tell you, at the end, the Saudis have agreed to put together a coalition inside of Syria to stabilize that country."
"56","BLITZER"," Thank you."
"57","KASICH"," He must go. It will be a blow to Iran and Russia."
"58","BLITZER"," Were going to talk about Assad in a moment.Mr. Trump, are Americans safer with dictators running the world in the Middle East?
TRUMP: In my opinion, weve spent $4 trillion trying to topple various people that frankly, if they were there and if we couldve spent that $4 trillion in the United States to fix our roads, our bridges, and all of the other problems; our airports and all of the other problems weve had, we wouldve been a lot better off. I can tell you that right now.We have done a tremendous disservice, not only to Middle East, weve done a tremendous disservice to humanity. The people that have been killed, the people that have wiped away, and for what? Its not like we had victory.Its a mess. The Middle East is totally destabilized. A total and complete mess. I wish we had the $4 trillion or $5 trillion. I wish it were spent right here in the United States, on our schools, hospitals, roads, airports, and everything else that are all falling apart. "
"59","FIORINA"," That is exactly what President Obama said. Im amazed to hear that from a republican presidential candidate. But lets just start with, who got it wrong? Who really got it wrong?Hillary Clinton has gotten every foreign policy challenge wrong. Hitting the reset button with Vladimir Putin recall that she called Bashar Al-Assad a positive reformer and then she opened an embassy and then later she said, over, and over, and over again, Bashar Al-Assad must go. Although she wasnt prepared to do anything about it. Recall that Hillary Clinton was all for toppling Gadhafi then didnt listen to her own people on the ground. And then of course, when she lied about the terrorist attack in Benghazi, she invited more terrorist attacks."
"60","BLITZER"," Thank you.Mr. Trump?"
"61","TRUMP"," Well, theres nothing to respond to. Well, people feel differently. I mean, the fact is Benghazi was a disaster because of Libya, everything just fell into place. It could not have been worse.What do we have now? We have nothing. Weve spent $3 trillion and probably much more I have no idea what weve spent. Thousands and thousands of lives, we have nothing. Wounded warriors all over the place who I love, we have nothing for it.And by the way and Ben said incorrectly and Im not saying this as a knock hes one of finest men. Youre not going to find a finer men.But Ive been talking about oil for three years. Ive been saying,, take the oil, take the oil. I didnt say, ""just bomb it,"" I said,"" take it and use it and distribute it so that the wounded warriors -"" People, Ive been saying this now for many years."
"62","BLITZER"," All right."
"63","TRUMP"," Now, all of a sudden everybodys saying, ""take the oil."" It wasnt so fashionable to take the oil six months ago. Ive been saying it for years.
BLITZER: Thank you.
FIORINA: Weve mismanaged going into Iraq."
"64","BLITZER"," Dr. Carson, is the Middle East..."
"65","FIORINA"," Weve mismanaged going out of Iraq.
BLITZER: Dr. Carson, is the Middle East better off with dictators?
CARSON: No one is ever better off with dictators but there comes a time you know, when youre on an airplane, they always say, in case of an emergency oxygen masks will drop down. Put yours on first and then administer help to your neighbor. We need oxygen right now.And we need to start thinking about the needs of the American people before we go and solve everybody elses problems. The fact of the matter is, is that the Middle East has been in turmoil for thousands of years. For us to think that were going to in there and fix that with a couple of little bombs and a few little decorations is relatively foolish."
"66","FIORINA"," We actually..."
"67","BLITZER"," Governor Bush."
"68","BUSH"," I think were focusing a whole...
BLITZER: Hold on Governor Bush., heres the question. You said, getting rid of Saddam Hussein in your words was a pretty good deal. In light of what has happened in Iraq, do you still feel that way?"
"69","BUSH"," I do. I think the lessons learned are that we have to have to have a strategy to get and a strategy to get out. Which means, that you create a stable situation.This president and this is what the focus ought to be, its not the differences between us, its Barack Obama does not believe Americas leadership in the world is a force for good. He does not believe that our strength is a place where security can take place. He leads from behind. He creates an environment that now were creating the most unstable situation weve had since the World War II era.The focus ought to be on the single fact that Hillary Clinton wants to double down on a failed foreign policy and we need to be united to defeat that because were going to be in a place that is far less secure than it is today. Dont you all agree?"
"70","BLITZER"," Senator Paul, was getting rid of Saddam Hussein a pretty good deal?"
"71","PAUL"," These are the fundamental questions of our time, these foreign policy questions, whether or not regime change is a good idea or a bad idea. I dont think because I think the regime change was a bad idea it means that Hussein was necessarily a good idea.There is often variations of evil on both sides of the war. What we have to decide is whether or not regime change is a good idea. Its what the neoconservatives have wanted. Its what the vast majority of those on the stage want.They still want regime change. They want it in Syria. They wanted it in Iraq. They want it in Libya. It has not worked.Out of regime change you get chaos. From the chaos you have seen repeatedly the rise of radical Islam. So we get this profession of, oh, my goodness, they want to do something about terrorism and yet theyre the problem because they allow terrorism to arise out of that chaos. "
"72","BLITZER"," Thank you. Hugh Hewitt, go ahead. Hold on. Hold on. Hold on. Hold on. Hugh."
"73","CRUZ"," The question of whether we should toppling dictatorships is asking the wrong question. We should be defeating our enemies. So the problem with defeating..."
"74","BLITZER"," Senator, Senator, were going to get to you. Wait your turn. We have two hours of debate. Well have plenty of time. Let Hugh ask his question."
"75","CRUZ"," Well, but let me explain, the focus should be..."
"76","BLITZER"," Senator, please."
"77","CRUZ"," ... on defeating our enemies. So, for example..."
"78","BLITZER"," Senator..."
"79","CRUZ"," ... a regime we should change is Iran..."
"80","BLITZER"," Youll have plenty of opportunity.Hugh, go ahead.
CRUZ: ... because Iran has declared war on us. But we shouldnt be toppling regimes...... that are fighting radical Islamic terrorists that are helping..."
"81","BLITZER"," These are the rules all of you agreed to.Hugh, go ahead with your question."
"82","HEWITT"," Mr. Trump, we are talking about the most important thing, thats why its heated. And its, you are OK with Mr. Assad staying in power, but you are also in favor of winning.If he stays in power, Iran is winning, Hezbollah is winning. Iran is winning in Yemen. They are winning everywhere. If they are winning how can we be winning?
TRUMP: I think Assad is a bad guy, a very bad guy, all right? Lots of people killed. I think we are backing people we have no idea who they are. The rebels, we call them the rebels, the patriotic rebels. We have no idea. A lot of people think, Hugh, that they are ISIS.We have to do one thing at a time. We cant be fighting ISIS and fighting Assad. Assad is fighting ISIS. He is fighting ISIS. Russia is fighting now ISIS. And Iran is fighting ISIS.We have to do one thing at a time. We cant go and I watched Lindsey Graham, he said, I have been here for 10 years fighting. Well, he will be there with that thinking for another 50 years. He wont be able to solve the problem.We have to get rid of ISIS first. After we get rid of ISIS, well start thinking about it. But we cant be fighting Assad. And when youre fighting Assad, you are fighting Russia, youre fighting youre fighting a lot of different groups.But we cant be fighting everybody at one time."
"83","HEWITT"," Governor Christie, is he right? Because if we step back, Iran goes nuclear. Is Donald Trump right?"
"84","CHRISTIE"," Well, I think we have to focus, Hugh, on exactly what the priorities are. And to me, what Ive always said is that the president has set up an awful situation through his deal with Iran, because what his deal with Iran has done is empower them and enrich them. And thats the way ISIS has been created and formed here. ISIS is created and formed because of the abuse that Assad and his Iranian sponsors have rained down on the Sunnis in Syria.And so when we empower Iran, this is why this president and when Hillary Clinton says her theory against ISIS will be just about the same as the president, then get ready for more unrest and more murder and more violence in the Middle East.We need to focus our attention on Iran, because if you miss Iran, you are not going to get ISIS. The two are inextricably connected because one causes the other."
"85","HEWITT"," Senator Paul, let me ask you, you heard Governor Kasich say Assad must go. Do you agree?"
"86","PAUL"," No, I think its a huge mistake. I think regime change in Syria, and this is what Ive been saying this for several years now. In 2013 when we first went in, I said, you are going to give arms to the allies of al Qaida, to radical jihadists? Thats crazy.But the other thing I said is the great irony is you will be back fighting against your own weapons. Had Assad been bombed when he used chemical weapons two years ago, ISIS would be in charge of all of Syria now.We have to have a more realistic foreign policy and not a utopian one where we say, oh, were going to spread freedom and democracy, and everybody in the Middle East is going to love us. They are not going to love us. "
"87","KASICH"," The foreign policy, you have to know how to pick and choose. Theres no way, if Saddam had not had weapons of mass destruction, I would have gone, because I dont believe that the U.S. should be involved directly in civil wars.I opposed the U.S. involvement in Lebanon. We ended up having to withdraw our marines after our barracks were blown up.There is a difference between Iraq, where you have Sunni, Shia, and Kurds put together after the First World War by the Western powers. It doesnt work. It needs to break up into three parts.And for the Russians, frankly, its time that we punched the Russians in the nose. Theyve gotten away with too much in this world and we need to stand up against them, not just there, but also in Eastern Europe where they threaten some of our most precious allies.
BLITZER: Lets continue with Russia right now. We have another question from Facebook. Listen and watch."
"88","QUESTION"," My name is Ashley Tofil. Ms. Fiorina, in November, you said that you would not talk to Vladimir Putin after you were elected because you would be communicating from a position of weakness. Do you believe that it is feasible to not communicate with another world leader? And do you think that that also is a sign of weakness?"
"89","BLITZER"," Ms. Fiorina, as you know, U.S. and Russian warplanes are flying all over Syria right now. With so many lives on the line, is this a good time for the United States not to talk to Putin?"
"90","FIORINA"," I didnt say I would cut off all communication with Putin. What I said was as president of the United States, now is not the time to talk with him. Reagan walked away at Reykjavik. There is a time and a place for everything. There is a time and a place for talk. And there is a time and a place for action.I know Vladimir Putin. He respects strength. He lied to our presidents face; didnt both to tell him about warplanes and troops going into Syria. We need to speak to him from a position of strength. So as commander in chief, I will not speak to him until weve set up that no-fly zone; until weve gathered our Sunni-Arab allies and begun to deny ISIS territory; until Ive called the supreme leader of Iran and told him new deal new deal. We the United States of America are going to cut off the money flow, which we can do; which we dont need anyones permission or collaboration to do.And I will not speak to him personally until weve rebuilt the 6th Fleet a little bit right under his nose; rebuilt the missile defense program in Poland right under his nose; and conducted a few military exercises in the Baltic states.And let us remember one other thing. Hillary Clinton and Barack Obama are responsible for the growth of ISIS because they precipitously withdrew from Iraq in 2011 against the advice of every single general and for political expediency. Its not these people up here. Its Hillary Clinton. 
BLITZER: Thank you, Ms. Fiorina.Governor Christie, if the U.S. imposed a no-fly zone over Syria and a Russian plane encroached, invaded that no-fly zone, would you be prepared to shoot down that Russian plane and risk war with Russia?
CHRISTIE: Not only would I be prepared to do it, I would do it. A no-fly zone means a no-fly zone, Wolf. Thats what it means. See, maybe maybe because Im from New Jersey, I just have this kind of plain language hangup. But I would make very clear I would not talk to Vladimir Putin. In fact, I would talk to Vladimir Putin a lot. But Id say to him, Listen, Mr. President, there's a no-fly zone in Syria; you fly in, it applies to you. And yes, we would shoot down the planes of Russian pilots if in fact they were stupid enough to think that this president was the same feckless weakling that the president we have in the Oval Office is right now. "
"91","BLITZER"," Senator Paul Senator Paul, I want you to respond to what we just heard from Governor Christie. If there was a no-fly zone, you say that potentially could lead to World War III. Why?"
"92","PAUL"," Well, I think if youre in favor of World War III, you have your candidate. You know, heres...... the thing. My goodness, what we want in a leader is someone with judgment, not someone who is so reckless as to stand on the stage and say, Yes, I'm jumping up and down; I'm going to shoot down Russian planes. Russia already flies in that airspace. It may not be something were in love with the fact that theyre there, but they were invited by Iraq and by Syria to fly in that airspace.And so if we announce were going to have a no-fly zone, and others have said this. Hillary Clinton is also for it. It is a recipe for disaster. Its a recipe for World War III. We need to confront Russia from a position of strength, but we dont need to confront Russia from a point of recklessness that would lead to war.This is something this type of judgment, you know, its having that kind of judgment; who you would appoint and how youre going to conduct affairs, that is incredibly important.I mean, I think when we think about the judgment of someone who might want World War III, we might think about someone who might shut down a bridge because they dont like their friends; they dont want to you know, they want to  a Democrat.So I think we need to be very careful.
BLITZER: Governor Christie?
CHRISTIE: Well, Wolf, Ill tell you what reckless is. What reckless is is calling Assad a reformer. What reckless is allowing Russia to come into Crimea and Ukraine. What reckless is is inviting Russia into Syria to team with Iran. That is reckless. And the reckless people are the folks in the White House right now. Barack Obama and Hillary Clinton are the reckless people.And if you think that a no-fly zone is a reckless policy, youre welcome to your opinion. But how is it working so far? As we have 250,000 Syrians murdered, slaughtered; millions running around the world, running for their lives. Its not working. We need to try something else. And that is not reckless. "
"93","BLITZER"," All right, lets go back Hugh and Dana?
HEWITT: Governor Bush, a commander-in-chief question. Youve said that Mr. Trump is not qualified to be president because hes not qualified to deal with Vladimir Putin. Why are you better qualified to deal with Vladimir Putin than Mr. Trump?
BUSH: Because I first of all, I know what I dont know. I know what I dont know. I would seek out, as I have, the best advice that exists. I wont get my information from the shows. I dont know if thats Saturday morning or Sunday morning. I dont know which one. I will seek out the best advice, and I will create a strategy and I will persuade the American people what the role of America should be. Ive laid out a policy of rebuilding our military.All of the talk that were seeing here most of which I agree on, frankly requires a much stronger military. We now have a lack of readiness that is quite scary. We have planes that were that Harry Truman inaugurated, the B-52. We have the Navy has been gutted and decimated. The readiness of the Marines is way down.If were serious about Americas leadership in the world, then we need to make sure that we have the back of the armed forces. The Armed Forces Radio is here listening to this today. I hope they know that if Im president, Ill be a commander-in-chief, not an agitator- in-chief or a divider-in-chief, that I will lead this country in a way that will create greater security and greater safety.
HEWITT: Mr. Trump?
TRUMP: I think its very sad that CNN leads Jeb Bush, Governor Bush, down a road by starting off virtually all the questions, Mr. Trump this, Mister  I think its very sad. And, frankly, I watched I think its very sad. And, frankly, I watched the first debate, and the first long number of questions were, Mr. Trump said this, Mr. Trump said that. Mr. Trump  these poor guys although, I must tell you, Santorum, good guy. Governor Huckabee, good guy. They were very nice, and I respect them greatly. But I thought it was very unfair that virtually the entire early portion of the debate was Trump this, Trump that, in order to get ratings, I guess. In order to get ratings, I guess."
"94","HEWITT"," But, Mr. Trump, its not CNN I was on CNN last night...
TRUMP: I just think its very excuse me."
"95","HEWITT"," ... watching..."
"96","TRUMP"," Excuse me. I think its very unprofessional.
HEWITT: But it wasnt it wasnt CNN. It was me. I watched you last night for 16 minutes. Its not CNN. "
"97","TRUMP"," Well, I think its very unprofessional.
HEWITT: Its not CNN. Its Americas watching you."
